0,1,2,3,4
0,0,0,0,3668
0,0,0,1,4074
0,0,0,2,4275
0,0,1,0,3591
0,0,1,1,4068
0,0,1,2,4431
0,0,2,0,3675
0,0,2,1,4117
0,0,2,2,4608
0,0,3,0,3797
0,0,3,1,4175
0,0,3,2,4635
0,0,4,0,4001
0,0,4,1,4192
0,0,4,2,0
0,0,5,0,0
0,0,5,1,0
0,0,5,2,0
0,1,0,0,2726
0,1,0,1,2496
0,1,0,2,2446
0,1,1,0,2711
0,1,1,1,2271
0,1,1,2,2567
0,1,2,0,2580
0,1,2,1,2220
0,1,2,2,2635
0,1,3,0,2604
0,1,3,1,2466
0,1,3,2,2781
0,1,4,0,2647
0,1,4,1,2786
0,1,4,2,0
0,1,5,0,0
0,1,5,1,0
0,1,5,2,0
0,2,0,0,3861
0,2,0,1,3881
0,2,0,2,4053
0,2,1,0,4164
0,2,1,1,3806
0,2,1,2,4202
0,2,2,0,3997
0,2,2,1,4022
0,2,2,2,4184
0,2,3,0,3767
0,2,3,1,4124
0,2,3,2,3911
0,2,4,0,3949
0,2,4,1,4116
0,2,4,2,0
0,2,5,0,0
0,2,5,1,0
0,2,5,2,0
0,3,0,0,0
0,3,0,1,0
0,3,0,2,0
0,3,1,0,0
0,3,1,1,0
0,3,1,2,0
0,3,2,0,0
0,3,2,1,0
0,3,2,2,0
0,3,3,0,0
0,3,3,1,0
0,3,3,2,0
0,3,4,0,0
0,3,4,1,0
0,3,4,2,0
0,3,5,0,0
0,3,5,1,0
0,3,5,2,0
0,4,0,0,0
0,4,0,1,0
0,4,0,2,0
0,4,1,0,0
0,4,1,1,0
0,4,1,2,0
0,4,2,0,0
0,4,2,1,0
0,4,2,2,0
0,4,3,0,0
0,4,3,1,0
0,4,3,2,0
0,4,4,0,0
0,4,4,1,0
0,4,4,2,0
0,4,5,0,0
0,4,5,1,0
0,4,5,2,0
0,5,0,0,4033
0,5,0,1,3502
0,5,0,2,3447
0,5,1,0,3726
0,5,1,1,2785
0,5,1,2,3646
0,5,2,0,4007
0,5,2,1,2999
0,5,2,2,3461
0,5,3,0,4086
0,5,3,1,2998
0,5,3,2,3738
0,5,4,0,4034
0,5,4,1,2920
0,5,4,2,0
0,5,5,0,0
0,5,5,1,0
0,5,5,2,0
0,6,0,0,3276
0,6,0,1,3211
0,6,0,2,3545
0,6,1,0,3195
0,6,1,1,3096
0,6,1,2,3692
0,6,2,0,3139
0,6,2,1,3105
0,6,2,2,4109
0,6,3,0,3082
0,6,3,1,3233
0,6,3,2,4083
0,6,4,0,3103
0,6,4,1,3221
0,6,4,2,0
0,6,5,0,0
0,6,5,1,0
0,6,5,2,0
0,7,0,0,0
0,7,0,1,0
0,7,0,2,1400
0,7,1,0,0
0,7,1,1,0
0,7,1,2,0
0,7,2,0,0
0,7,2,1,0
0,7,2,2,0
0,7,3,0,0
0,7,3,1,0
0,7,3,2,0
0,7,4,0,0
0,7,4,1,0
0,7,4,2,0
0,7,5,0,0
0,7,5,1,0
0,7,5,2,0
0,8,0,0,1600
0,8,0,1,3507
0,8,0,2,4407
0,8,1,0,1602
0,8,1,1,3966
0,8,1,2,3770
0,8,2,0,2719
0,8,2,1,3577
0,8,2,2,3850
0,8,3,0,2250
0,8,3,1,3429
0,8,3,2,4347
0,8,4,0,2841
0,8,4,1,3948
0,8,4,2,0
0,8,5,0,0
0,8,5,1,0
0,8,5,2,0
0,9,0,0,0
0,9,0,1,0
0,9,0,2,0
0,9,1,0,0
0,9,1,1,2250
0,9,1,2,0
0,9,2,0,0
0,9,2,1,0
0,9,2,2,0
0,9,3,0,0
0,9,3,1,0
0,9,3,2,0
0,9,4,0,1450
0,9,4,1,0
0,9,4,2,0
0,9,5,0,0
0,9,5,1,0
0,9,5,2,0
0,10,0,0,1519
0,10,0,1,1648
0,10,0,2,1200
0,10,1,0,1351
0,10,1,1,1627
0,10,1,2,0
0,10,2,0,1556
0,10,2,1,1724
0,10,2,2,0
0,10,3,0,1586
0,10,3,1,82728
0,10,3,2,0
0,10,4,0,1781
0,10,4,1,1980
0,10,4,2,0
0,10,5,0,0
0,10,5,1,0
0,10,5,2,0
0,11,0,0,2170
0,11,0,1,2230
0,11,0,2,2480
0,11,1,0,2241
0,11,1,1,2274
0,11,1,2,2526
