0,1,2,3,4
0,0,0,0,3659
0,0,0,1,4027
0,0,0,2,4093
0,0,1,0,3587
0,0,1,1,4033
0,0,1,2,4262
0,0,2,0,3576
0,0,2,1,4037
0,0,2,2,3933
0,0,3,0,3577
0,0,3,1,4021
0,0,3,2,3722
0,0,4,0,3595
0,0,4,1,3443
0,0,4,2,4385
0,0,5,0,0
0,0,5,1,0
0,0,5,2,0
0,0,6,0,0
0,0,6,1,0
0,0,6,2,0
0,0,7,0,0
0,0,7,1,0
0,0,7,2,0
0,0,8,0,0
0,0,8,1,0
0,0,8,2,0
0,0,9,0,0
0,0,9,1,0
0,0,9,2,0
0,0,10,0,0
0,0,10,1,0
0,0,10,2,0
0,0,11,0,0
0,0,11,1,0
0,0,11,2,0
0,1,0,0,2688
0,1,0,1,2637
0,1,0,2,2649
0,1,1,0,2682
0,1,1,1,2576
0,1,1,2,2689
0,1,2,0,2757
0,1,2,1,2637
0,1,2,2,2733
0,1,3,0,2699
0,1,3,1,2633
0,1,3,2,2775
0,1,4,0,2604
0,1,4,1,2483
0,1,4,2,2783
0,1,5,0,0
0,1,5,1,0
0,1,5,2,0
0,1,6,0,0
0,1,6,1,0
0,1,6,2,0
0,1,7,0,0
0,1,7,1,0
0,1,7,2,0
0,1,8,0,0
0,1,8,1,0
0,1,8,2,0
0,1,9,0,0
0,1,9,1,0
0,1,9,2,0
0,1,10,0,0
0,1,10,1,0
0,1,10,2,0
0,1,11,0,0
0,1,11,1,0
0,1,11,2,0
0,2,0,0,2931
0,2,0,1,3816
0,2,0,2,3452
0,2,1,0,3532
0,2,1,1,3665
0,2,1,2,3459
0,2,2,0,3220
0,2,2,1,3695
0,2,2,2,3552
0,2,3,0,3841
0,2,3,1,3350
0,2,3,2,3740
0,2,4,0,3507
0,2,4,1,3696
0,2,4,2,3694
0,2,5,0,0
0,2,5,1,0
0,2,5,2,0
0,2,6,0,0
0,2,6,1,0
0,2,6,2,0
0,2,7,0,0
0,2,7,1,0
0,2,7,2,0
0,2,8,0,0
0,2,8,1,0
0,2,8,2,0
0,2,9,0,0
0,2,9,1,0
0,2,9,2,0
0,2,10,0,0
0,2,10,1,0
0,2,10,2,0
0,2,11,0,0
0,2,11,1,0
0,2,11,2,0
0,3,0,0,0
0,3,0,1,0
0,3,0,2,0
0,3,1,0,0
0,3,1,1,0
0,3,1,2,0
0,3,2,0,0
0,3,2,1,0
0,3,2,2,0
0,3,3,0,0
0,3,3,1,0
0,3,3,2,0
0,3,4,0,0
0,3,4,1,0
0,3,4,2,0
0,3,5,0,0
0,3,5,1,0
0,3,5,2,0
0,3,6,0,0
0,3,6,1,0
0,3,6,2,0
0,3,7,0,0
0,3,7,1,0
0,3,7,2,0
0,3,8,0,0
0,3,8,1,0
0,3,8,2,0
0,3,9,0,0
0,3,9,1,0
0,3,9,2,0
0,3,10,0,0
0,3,10,1,0
0,3,10,2,0
0,3,11,0,0
0,3,11,1,0
0,3,11,2,0
0,4,0,0,0
0,4,0,1,0
0,4,0,2,0
0,4,1,0,0
0,4,1,1,0
0,4,1,2,0
0,4,2,0,0
0,4,2,1,0
0,4,2,2,0
0,4,3,0,0
0,4,3,1,0
0,4,3,2,0
0,4,4,0,0
0,4,4,1,0
0,4,4,2,0
0,4,5,0,0
0,4,5,1,0
0,4,5,2,0
0,4,6,0,0
0,4,6,1,0
0,4,6,2,0
0,4,7,0,0
0,4,7,1,0
0,4,7,2,0
0,4,8,0,0
0,4,8,1,0
0,4,8,2,0
0,4,9,0,0
0,4,9,1,0
0,4,9,2,0
0,4,10,0,0
0,4,10,1,0
0,4,10,2,0
0,4,11,0,0
0,4,11,1,0
0,4,11,2,0
0,5,0,0,3325
0,5,0,1,3013
0,5,0,2,3311
0,5,1,0,3121
0,5,1,1,2974
0,5,1,2,3227
0,5,2,0,3205
0,5,2,1,3106
0,5,2,2,3480
0,5,3,0,3097
0,5,3,1,2935
0,5,3,2,3236
0,5,4,0,3198
0,5,4,1,3045
0,5,4,2,3365
0,5,5,0,0
0,5,5,1,0
0,5,5,2,0
0,5,6,0,0
0,5,6,1,0
0,5,6,2,0
0,5,7,0,0
0,5,7,1,0
0,5,7,2,0
0,5,8,0,0
0,5,8,1,0
0,5,8,2,0
0,5,9,0,0
0,5,9,1,0
0,5,9,2,0
0,5,10,0,0
0,5,10,1,0
0,5,10,2,0
0,5,11,0,0
0,5,11,1,0
0,5,11,2,0
0,6,0,0,3350
0,6,0,1,3294
0,6,0,2,3477
0,6,1,0,3249
0,6,1,1,3143
0,6,1,2,3493
0,6,2,0,3201
0,6,2,1,3087
0,6,2,2,4231
0,6,3,0,3187
0,6,3,1,3251
0,6,3,2,3685
0,6,4,0,3194
0,6,4,1,3082
0,6,4,2,3949
0,6,5,0,0
0,6,5,1,0
0,6,5,2,0
0,6,6,0,0
0,6,6,1,0
0,6,6,2,0
0,6,7,0,0
0,6,7,1,0
0,6,7,2,0
0,6,8,0,0
0,6,8,1,0
0,6,8,2,0
0,6,9,0,0
0,6,9,1,0
0,6,9,2,0
0,6,10,0,0
0,6,10,1,0
0,6,10,2,0
0,6,11,0,0
0,6,11,1,0
0,6,11,2,0
0,7,0,0,0
0,7,0,1,0
0,7,0,2,1400
0,7,1,0,0
0,7,1,1,0
0,7,1,2,0
0,7,2,0,0
0,7,2,1,0
0,7,2,2,0
0,7,3,0,0
0,7,3,1,0
0,7,3,2,0
0,7,4,0,0
0,7,4,1,0
0,7,4,2,0
0,7,5,0,0
0,7,5,1,0
0,7,5,2,0
0,7,6,0,0
0,7,6,1,0
0,7,6,2,0
0,7,7,0,0
0,7,7,1,0
0,7,7,2,0
0,7,8,0,0
0,7,8,1,0
0,7,8,2,0
0,7,9,0,0
0,7,9,1,0
0,7,9,2,0
0,7,10,0,0
0,7,10,1,0
0,7,10,2,0
0,7,11,0,0
0,7,11,1,0
0,7,11,2,0
0,8,0,0,1658
0,8,0,1,3500
0,8,0,2,4003
0,8,1,0,2298
0,8,1,1,3103
0,8,1,2,3827
0,8,2,0,1956
0,8,2,1,3566
0,8,2,2,3266
0,8,3,0,1815
0,8,3,1,3625
0,8,3,2,3250
0,8,4,0,2479
0,8,4,1,3570
0,8,4,2,3306
0,8,5,0,0
0,8,5,1,0
0,8,5,2,0
0,8,6,0,0
0,8,6,1,0
0,8,6,2,0
0,8,7,0,0
0,8,7,1,0
0,8,7,2,0
0,8,8,0,0
0,8,8,1,0
0,8,8,2,0
0,8,9,0,0
0,8,9,1,0
0,8,9,2,0
0,8,10,0,0
0,8,10,1,0
0,8,10,2,0
0,8,11,0,0
0,8,11,1,0
0,8,11,2,0
0,9,0,0,0
0,9,0,1,0
0,9,0,2,0
0,9,1,0,0
0,9,1,1,0
0,9,1,2,0
0,9,2,0,0
0,9,2,1,0
0,9,2,2,0
0,9,3,0,0
0,9,3,1,2250
0,9,3,2,0
0,9,4,0,0
0,9,4,1,0
0,9,4,2,0
0,9,5,0,0
0,9,5,1,0
0,9,5,2,0
0,9,6,0,0
0,9,6,1,0
0,9,6,2,0
0,9,7,0,0
0,9,7,1,0
0,9,7,2,0
