0,1,2,3,4
1,0,0,0,1114
2,0,0,0,1158
3,0,0,0,1130
4,0,0,0,1168
1,0,1,0,1163
2,0,1,0,1168
3,0,1,0,1156
4,0,1,0,1154
1,0,2,0,1178
2,0,2,0,1264
3,0,2,0,1196
4,0,2,0,1209
1,0,3,0,1288
2,0,3,0,1285
3,0,3,0,1285
4,0,3,0,1285
1,0,4,0,1285
2,0,4,0,1287
3,0,4,0,1287
4,0,4,0,1289
1,0,5,0,364
2,0,5,0,703
3,0,5,0,603
4,0,5,0,718
1,0,6,0,488
2,0,6,0,287
3,0,6,0,894
4,0,6,0,908
1,0,7,0,892
2,0,7,0,783
3,0,7,0,1032
4,0,7,0,884
1,0,8,0,1446
2,0,8,0,1383
3,0,8,0,1385
4,0,8,0,1403
1,0,9,0,1339
2,0,9,0,1381
3,0,9,0,1323
4,0,9,0,1385
1,0,10,0,1560
2,0,10,0,1426
3,0,10,0,1744
4,0,10,0,1430
1,0,11,0,1498
2,0,11,0,1465
3,0,11,0,1531
4,0,11,0,1462
1,0,0,1,1761
2,0,0,1,1542
3,0,0,1,1354
4,0,0,1,1550
1,0,1,1,1300
2,0,1,1,1710
3,0,1,1,0
4,0,1,1,0
1,0,2,1,1480
2,0,2,1,1459
3,0,2,1,1435
4,0,2,1,1447
1,0,3,1,1350
2,0,3,1,1350
3,0,3,1,1350
4,0,3,1,1352
1,0,4,1,1369
2,0,4,1,1363
3,0,4,1,1361
4,0,4,1,1367
1,0,5,1,1494
2,0,5,1,1503
3,0,5,1,1438
4,0,5,1,1433
1,0,6,1,1430
2,0,6,1,1383
3,0,6,1,1412
4,0,6,1,1404
1,0,7,1,1429
2,0,7,1,1414
3,0,7,1,1390
4,0,7,1,1431
1,0,8,1,1438
2,0,8,1,1518
3,0,8,1,1419
4,0,8,1,1429
1,0,9,1,1478
2,0,9,1,1479
3,0,9,1,1549
4,0,9,1,1501
1,0,10,1,2230
2,0,10,1,2330
3,0,10,1,1549
4,0,10,1,2183
1,0,11,1,1585
2,0,11,1,1609
3,0,11,1,1607
4,0,11,1,1584
1,0,0,2,1632
2,0,0,2,0
3,0,0,2,1628
4,0,0,2,1652
1,0,1,2,1487
2,0,1,2,1650
3,0,1,2,1227
4,0,1,2,1643
1,0,2,2,1571
2,0,2,2,1552
3,0,2,2,1560
4,0,2,2,1532
1,0,3,2,1387
2,0,3,2,1400
3,0,3,2,1400
4,0,3,2,1400
1,0,4,2,1400
2,0,4,2,1410
3,0,4,2,1404
4,0,4,2,1397
1,0,5,2,1400
2,0,5,2,1350
3,0,5,2,1283
4,0,5,2,0
1,0,6,2,1373
2,0,6,2,1389
3,0,6,2,1641
4,0,6,2,1407
1,0,7,2,1193
2,0,7,2,1396
3,0,7,2,1385
4,0,7,2,1409
1,0,8,2,1410
2,0,8,2,1408
3,0,8,2,1412
4,0,8,2,1412
1,0,9,2,1433
2,0,9,2,1433
3,0,9,2,1437
4,0,9,2,1442
1,0,10,2,1429
2,0,10,2,1464
3,0,10,2,1466
4,0,10,2,1468
1,0,11,2,1524
2,0,11,2,1537
3,0,11,2,1657
4,0,11,2,1796
1,0,0,3,1578
2,0,0,3,1572
3,0,0,3,1571
4,0,0,3,1570
1,0,1,3,1533
2,0,1,3,1504
3,0,1,3,1505
4,0,1,3,1531
1,0,2,3,1545
2,0,2,3,1597
3,0,2,3,1422
4,0,2,3,1519
1,0,3,3,1450
2,0,3,3,1450
3,0,3,3,1450
4,0,3,3,1465
1,0,4,3,1450
2,0,4,3,1441
3,0,4,3,1422
4,0,4,3,1452
1,0,5,3,1293
2,0,5,3,1520
3,0,5,3,1451
4,0,5,3,1434
1,0,6,3,1430
2,0,6,3,1450
3,0,6,3,1438
4,0,6,3,1423
1,0,7,3,1416
2,0,7,3,1437
3,0,7,3,1257
4,0,7,3,1221
1,0,8,3,1438
2,0,8,3,1438
3,0,8,3,1453
4,0,8,3,1476
1,0,9,3,1505
2,0,9,3,1468
3,0,9,3,1488
4,0,9,3,1536
1,0,10,3,1462
2,0,10,3,1460
3,0,10,3,1504
4,0,10,3,1529
1,0,11,3,1506
2,0,11,3,1498
3,0,11,3,1508
4,0,11,3,1479
1,0,0,4,1453
2,0,0,4,1502
3,0,0,4,1520
4,0,0,4,1504
1,0,1,4,1598
2,0,1,4,0
3,0,1,4,1609
4,0,1,4,1568
1,0,2,4,1470
2,0,2,4,1500
3,0,2,4,1437
4,0,2,4,0
1,0,3,4,1525
2,0,3,4,1525
3,0,3,4,1525
4,0,3,4,1525
1,0,4,4,1525
2,0,4,4,1523
3,0,4,4,1537
4,0,4,4,1499
1,0,5,4,1523
2,0,5,4,1543
3,0,5,4,1546
4,0,5,4,1670
1,0,6,4,1587
2,0,6,4,1650
3,0,6,4,1569
4,0,6,4,1591
1,0,7,4,1530
2,0,7,4,1537
3,0,7,4,0
4,0,7,4,0
1,0,8,4,0
2,0,8,4,1633
3,0,8,4,1638
4,0,8,4,0
1,0,9,4,1671
2,0,9,4,1685
3,0,9,4,1730
4,0,9,4,1740
1,0,10,4,1869
2,0,10,4,1840
3,0,10,4,2092
4,0,10,4,0
1,0,11,4,0
2,0,11,4,1900
3,0,11,4,0
4,0,11,4,1850
1,0,0,5,0
2,0,0,5,0
3,0,0,5,0
4,0,0,5,0
1,0,1,5,0
2,0,1,5,0
3,0,1,5,0
4,0,1,5,0
1,0,2,5,0
2,0,2,5,0
3,0,2,5,0
4,0,2,5,1700
1,0,3,5,1625
2,0,3,5,1625
3,0,3,5,1625
4,0,3,5,1625
1,0,4,5,1625
2,0,4,5,1625
3,0,4,5,1623
4,0,4,5,1626
1,0,5,5,1612
2,0,5,5,1616
3,0,5,5,1625
4,0,5,5,1600
1,0,6,5,1625
2,0,6,5,1631
3,0,6,5,1635
4,0,6,5,1639
1,0,7,5,1640
2,0,7,5,1643
3,0,7,5,1639
4,0,7,5,1629
1,0,8,5,1648
2,0,8,5,1671
3,0,8,5,1636
4,0,8,5,1658
1,0,9,5,1642
2,0,9,5,1650
3,0,9,5,0
4,0,9,5,0
1,0,10,5,0
2,0,10,5,0
3,0,10,5,0
4,0,10,5,0
1,0,11,5,0
2,0,11,5,0
3,0,11,5,0
4,0,11,5,0
1,1,0,0,1332
2,1,0,0,1333
3,1,0,0,1345
4,1,0,0,1331
1,1,1,0,1258
2,1,1,0,1341
3,1,1,0,1287
4,1,1,0,1319
1,1,2,0,1318
2,1,2,0,1346
3,1,2,0,1500
4,1,2,0,1473
1,1,3,0,1395
2,1,3,0,1235
3,1,3,0,1477
4,1,3,0,1513
1,1,4,0,1462
2,1,4,0,1440
3,1,4,0,1443
4,1,4,0,1464
1,1,5,0,1381
2,1,5,0,1468
3,1,5,0,1416
4,1,5,0,1465
1,1,6,0,1467
2,1,6,0,1617
3,1,6,0,1626
4,1,6,0,1595
1,1,7,0,1615
2,1,7,0,1527
3,1,7,0,1554
4,1,7,0,1697
1,1,8,0,1708
2,1,8,0,1666
3,1,8,0,1704
4,1,8,0,1674
1,1,9,0,1638
2,1,9,0,1653
3,1,9,0,1679
4,1,9,0,1567
1,1,10,0,1771
2,1,10,0,1594
3,1,10,0,1765
4,1,10,0,1777
1,1,11,0,1729
2,1,11,0,1761
3,1,11,0,1702
4,1,11,0,1656
1,1,0,1,1744
2,1,0,1,1696
3,1,0,1,1681
4,1,0,1,1736
